Spectraltype,Temperature (K),absolute-magnitude
M8V,2550,18.384146686859516
M6Ve,3042,15.527232215841916
G1V,6176,3.64573573468241
G8V,5409,5.120465370233069
G0V,6075,5.013739346354637
G6V,5539,5.377757886629361
G0V,5951,4.298062903073235
G0V,5765,4.623064203587861
K0III,5049,2.511295375749528
F7V,6180,3.37156160679279
K2V,5143,5.733496119858957
K6III,4394,1.7090849381904158
G0IV-V,5984,3.9583998309339954
K4Vk,4714,6.874842218857227
G5V,5684,6.336194142972029
K1V,4990,6.232355539892699
F8V,6158,3.935988316828798
K0V,5140,5.585619661155381
G5V,5676,4.685319704515569
G5V,5571,5.230602838667966
G5V,5597,4.820469682835475
G5IV,5701,4.2501294610840965
G5D,5035,2.1355945493321364
K0III,5052,2.7685880059483807
K0 IV,4854,2.2330430499441363
G3VI,5714,4.635463322516788
K5V,4711,7.14160817316778
G0V,5871,4.752867010092352
G9.3V,5386,5.32364296322376
F8V,6024,4.548113560212034
K0V,5177,6.0453187175205985
G0V,5835,4.122151613031049
F8V,5942,3.870292153816944
G1V,5768,4.407924132309322
G5V,5793,4.752151613031048
F8V,6107,3.4398687825608807
F9V,6351,4.314407113958758
G1V,5911,4.378113560212034
F8V,6039,4.307757886629361
G0V,6153,3.995835472873324
G5IV,5641,3.730602838667967
G0V,6058,3.96769864192345
G8.5III,4975,0.564911590791227
G5IV,5522,3.840213276565769
G8V,5437,5.3537393463546366
F9.9V,6001,3.765710622859162
G6V,5742,4.722607908309456
K2III,4553,0.46941248728247453
K1V,5350,6.01679194324044
K2V,4871,6.1047174222221425
G0V,5829,4.375319704515569
kA5hA8mF4,7560,3.005425413962854
G5IV,5533,3.828113560212034
F6V,6424,4.047873960156388
G1V,5936,3.7257357346824103
G0IV,5996,3.4648231441255977
G5III,5578,0.8270974502060646
G0V,5997,4.226192029960816
K0III,4414,1.086241887618442
K0III,4651,2.552115854862879
M0V,3961,7.911825848033319
G0V,6079,3.801301743169155
G9V,5413,4.807397406845878
G9IV,5048,2.3100208182463584
G8V,5408,5.160451977666508
K3V,4629,4.627708455410298
G5V,5485,4.874385923578819
F8V,5984,3.280973566336937
G5V,5501,5.827755378449849
G0V,5929,4.279535901898726
G8V,5401,5.3448010341838526
G9.5V,5233,5.703642963223759
G2V,5636,4.624842218857226
K3/K4IV,4795,6.822247428525971
G8V,5288,5.085225339438794
G9IV,5247,5.380602838667967
G2.5V,5978,4.686877651027432
K2V,5116,6.1911856696421275
K3V,5026,6.135650130894788
G2V,5754,3.607852806512664
G0V,5848,4.480517271058531
K2V,5087,5.739567443902236
F8V,5888,3.732912924753329
G0V,5853,4.177914225267955
G0V,5572,5.256758151487686
F8V,6159,4.082867010092352
G1V,5830,4.3252333836845285
G5IV-V,5589,4.284501997105847
K2IVa,4749,3.1528721067810976
G3IV,5712,4.965823588017031
K2V,4966,6.210451977666509
F5V,6429,3.6977578866293612
G5V,5724,4.0250321534473485
G5V,4758,5.7686789198912285
G5V,5482,4.677736732985635
K0III,4901,0.2705454912509371
K0III,5076,1.7639099730176877
K5V,4612,6.0845402697912485
M8.5V,2599,10.797075181706255
G8V,5607,4.799489930454074
M3V,3895,10.141525891393506
F8V,5861,3.664639908773979
